 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, MergeSort_cmp, MergeSort_swaps, MergeSort_time
 0,             0,               0,              3,         0,           0,          2,                 0,                   0,                  0,             0,               0,              1
 1,             0,               0,              0,         0,           0,          1,                 0,                   0,                  1,             0,               0,              1
 2,             0,               0,              1,         0,           0,          5,                 0,                   0,                  1,             0,               0,              4
 3,             0,               0,              1,         0,           0,          5,                 0,                   0,                  1,             0,               0,              5
 4,             0,               0,              1,         0,           0,         15,                 0,                   0,                  1,             0,               0,              7
 5,             0,               0,              1,         0,           0,          8,                 0,                   0,                  1,             0,               0,              7
 6,             0,               0,              2,         0,           0,          7,                 0,                   0,                  2,             0,               0,              9
 7,             0,               0,              2,         0,           0,          8,                 0,                   0,                  2,             0,               0,             12
 8,             0,               0,              2,         0,           0,          9,                 0,                   0,                  5,             0,               0,             39
 9,             0,               0,              7,         0,           0,         12,                 0,                   0,                  3,             0,               0,             12
10,             0,               0,              2,         0,           0,         12,                 0,                   0,                  3,             0,               0,            207
